city, confirmed cases, heat label
Long Beach, 12, 3
Pasadena, 2, 1
Alhambra, 2, 1
Arcadia, 2, 1
Baldwin Hills, 1, 1
Beverly Hills, 4, 1
Beverlywood, 2, 1
Boyle Heights, 5, 2
Brentwood, 13, 3
Burbank, 1, 1
Calabasas, 1, 1
Carson, 1, 1
Castaic, 1, 1
Covina, 1, 1
Crestview, 1, 1
Culver City, 3, 1
Diamond Bar, 2, 1
Eagle Rock, 1, 1
East Los Angeles, 1, 1
Echo Park, 1, 1
Encino, 6, 2
Gardena, 1, 1
Glendale, 4, 1
Granada Hills, 4, 1
Hancock Park, 2, 1
Hawthorne, 1, 1
Hollywood Hills, 2, 1
Hollywood, 5, 2
Inglewood, 2, 1
Koreatown, 1, 1
La Mirada, 3, 1
Lawndale, 1, 1
Lomita, 5, 2
Lynwood, 1, 1
Manhattan Beach, 5, 2
Mar Vista, 1, 1
Melrose, 11, 3
Monterey Park, 2, 1
North Hollywood, 3, 1
Northridge, 1, 1
Pacific Palisades, 5, 2
Palms, 1, 1
Park LaBrea, 3, 1
Playa Vista, 1, 1
Reseda, 1, 1
San Dimas, 1, 1
San Pedro, 1, 1
Santa Clarita, 3, 1
Santa Monica Mountains, 2, 1
Santa Monica, 2, 1
Sherman Oaks, 5, 2
South El Monte, 1, 1
South Pasadena, 1, 1
Stevenson Ranch, 1, 1
Studio City, 3, 1
Sylmar, 1, 1
Tarzana, 5, 2
Torrance, 2, 1
Tujunga, 1, 1
University Park, 1, 1
Valley Glen, 1, 1
Van Nuys, 1, 1
Venice, 4, 1
Vermont Knolls, 1, 1
Walnut, 1, 1
West Adams, 1, 1
West Hills, 3, 1
West Hollywood, 12, 3
West Los Angeles, 2, 1
West Vernon, 1, 1
Westchester, 3, 1
Westwood, 2, 1
Whittier, 2, 1
Woodland Hills, 3, 1
